VoterTurnout(%),TotalVote,Registration,VotingAgePopulationTurnout(%),VotingAgePopulation,Population,InvalidVotes(%),CompulsoryVoting,ElectoralSystemFamily,LegislativeSizeVotingMembers,VoterTurnoutCategory
0.45,4000000.0,8843151.0,0.22,18340292.0,34940837.0,0.04,No,Other,250.0,Low
0.47,1614479.0,3452324.0,0.69,2356975.0,3047987.0,0.02,No,PR,140.0,Low
0.37,8624199.0,23251503.0,0.32,27248442.0,40969443.0,0.25,No,PR,462.0,Low
0.68,18638.0,27278.0,0.26,71161.0,85684.0,0.05,No,Mixed,28.0,Medium
0.76,7093002.0,9317294.0,0.53,13366186.0,29310273.0,0.04,No,PR,220.0,High
0.61,7293.0,11951.0,0.54,13422.0,18090.0,0.05,No,Plurality/Majority,13.0,Medium
0.9,43077.0,47721.0,0.7,61571.0,91295.0,0.01,No,Plurality/Majority,17.0,High
0.81,27698054.0,34218538.0,0.83,33442549.0,45089492.0,0.07,Yes,PR,257.0,High
0.49,1261105.0,2593140.0,0.53,2362422.0,3038217.0,0.0,No,PR,132.0,Low
0.84,59403.0,70750.0,0.65,90840.0,115120.0,0.01,No,PR,21.0,High
0.92,15088616.0,16419543.0,0.81,18675465.0,23705630.0,0.06,Yes,Plurality/Majority,151.0,High
0.76,4835469.0,6396812.0,0.64,7508169.0,8828456.0,0.01,No,PR,183.0,High
0.47,2510135.0,5359015.0,0.34,7475615.0,10205810.0,0.04,No,Plurality/Majority,125.0,Low
0.87,159910.0,184000.0,0.67,240360.0,329988.0,0.01,No,Plurality/Majority,39.0,High
0.67,237550.0,365467.0,0.22,1070950.0,1442659.0,0.0,No,Plurality/Majority,40.0,Medium
0.8,83352384.0,104190480.0,0.78,106777785.0,159453001.0,0.03,No,Plurality/Majority,350.0,High
0.6,154245.0,255833.0,0.67,230005.0,293131.0,0.0,No,Plurality/Majority,30.0,Medium
0.77,5319286.0,6880605.0,0.69,7716337.0,9503591.0,0.01,No,Plurality/Majority,110.0,High
0.88,7218633.0,8167709.0,0.78,9261362.0,11647253.0,0.06,Yes,PR,150.0,High
0.82,149650.0,182815.0,0.61,244148.0,399598.0,0.01,No,Plurality/Majority,31.0,High
0.23,1147625.0,4992399.0,0.19,5967849.0,11646392.0,0.14,No,PR,83.0,Low
0.6,25763.0,42638.0,0.61,57233.0,71750.0,0.09,No,Plurality/Majority,36.0,Medium
0.72,313473.0,438663.0,0.59,530575.0,766397.0,0.040810810810810734,No,Plurality/Majority,47.0,Medium
0.88,6484008.0,7332926.0,0.88,7404475.0,11639909.0,0.05,Yes,Mixed,130.0,High
0.54,1812960.0,3355429.0,0.56,3228803.0,3849891.0,0.09,No,PR,42.0,Low
0.84,772208.0,924709.0,0.54,1444142.0,2283255.0,0.01,No,Plurality/Majority,63.0,High
0.8,117111476.0,146750529.0,0.77,152762054.0,208846892.0,0.16,Yes,PR,513.0,High
0.54,3682493.0,6838235.0,0.63,5864631.0,7101510.0,0.08,Yes,PR,240.0,Low
0.6,3317193.0,5517015.0,0.37,9100031.0,18931686.0,0.05,No,PR,127.0,Medium
0.87,4464359.0,5113418.0,0.76,5863257.0,11865821.0,0.04,No,PR,124.0,High
0.66,229337.0,347828.0,0.65,355717.0,553432.0,0.01,No,PR,72.0,Medium
0.83,6956900.0,8380217.0,0.66,10499588.0,16449519.0,0.09,No,PR,125.0,High
0.44,3021947.0,6900928.0,0.23,13001295.0,27744989.0,0.04,No,Plurality/Majority,180.0,Low
0.68,18351260.0,27126166.0,0.62,29399271.0,36136376.0,0.01,No,Plurality/Majority,338.0,Medium
0.74,15721.0,21228.0,0.34,45823.0,58441.0,0.02,No,Plurality/Majority,18.0,High
0.44,542546.0,1225300.0,0.27,2005942.0,4950027.0,0.05,No,Plurality/Majority,131.0,Low
0.57,2734280.0,4830885.0,0.57,4774767.0,10758945.0,0.03,No,Plurality/Majority,188.0,Low
0.47,6675146.0,14347288.0,0.5,13472122.0,17789267.0,0.1,No,PR,155.0,Low
0.49,17882318.0,36493318.0,0.52,34279624.0,48168996.0,0.19,No,PR,166.0,Low
0.62,195773.0,313647.0,0.41,474387.0,846281.0,0.05,No,Plurality/Majority,33.0,Medium
0.45,18329318.0,40371439.0,0.42,44138661.0,85281024.0,0.04,Yes,Plurality/Majority and PR,500.0,Low
0.66,2178096.0,3322329.0,0.6,3643021.0,4987142.0,0.02,Yes,PR,57.0,Medium
0.34,2137364.0,6268113.0,0.16,13233263.0,23740424.0,0.05,No,Plurality/Majority,255.0,Low
0.47,1736065.0,3701924.0,0.5,3508598.0,4227746.0,0.02,No,PR,151.0,Low
0.86,7399891.0,8639989.0,0.81,9155857.0,11116396.0,0.06,No,Plurality/Majority,612.0,High
0.67,362542.0,543186.0,0.39,926492.0,1205575.0,0.03,Yes,PR,56.0,Medium
0.61,5094633.0,8374501.0,0.58,8774665.0,10674723.0,0.01,No,PR,200.0,Medium
0.85,3569521.0,4219537.0,0.76,4673427.0,5841522.0,0.01,No,PR,179.0,High
0.62,119861.0,194000.0,0.22,558020.0,884017.0,0.02,No,Mixed,65.0,Medium
0.54,40189.0,74895.0,0.73,55256.0,74144.0,0.01,No,Plurality/Majority,32.0,Low
0.55,4003159.0,7529932.0,0.56,7103584.0,10499707.0,0.04,No,PR,190.0,Low
0.82,10476231.0,12816698.0,0.91,11579443.0,16290913.0,0.22,Yes,PR,137.0,High
0.29,18358895.0,63157351.0,0.28,63705978.0,104124440.0,0.03,Yes,Plurality/Majority,596.0,Low
0.48,2487050.0,5186042.0,0.58,4258610.0,6187271.0,0.08,No,PR,84.0,Low
0.84,273502.0,325555.0,0.66,417365.0,778358.0,0.0,No,PR,100.0,High
0.64,565045.0,887420.0,0.57,1001011.0,1236641.0,0.01,No,PR,101.0,Medium
0.93,34351444.0,36851461.0,0.7,49011364.0,99465819.0,0.040810810810810734,No,Plurality/Majority,547.0,High
0.72,458532.0,637527.0,0.43,628402.0,926276.0,0.01,No,PR,51.0,Medium
0.69,3099760.0,4510040.0,0.69,4464808.0,5555154.0,0.01,No,PR,200.0,Medium
0.49,23167508.0,47570988.0,0.44,52211196.0,67106161.0,0.02,No,Plurality/Majority,577.0,Low
0.59,398798.0,680194.0,0.34,1177350.0,2119036.0,0.040810810810810734,Yes,Plurality/Majority,143.0,Medium
0.42,372362.0,886578.0,0.32,1151645.0,2051363.0,0.01,No,Plurality/Majority,58.0,Low
0.56,1970540.0,3511853.0,0.47,3868433.0,4930030.0,0.04,No,Mixed,150.0,Low
0.76,46976341.0,61688485.0,0.69,67975700.0,80594017.0,0.01,No,Mixed,709.0,High
0.68,10614718.0,15712499.0,0.71,14974531.0,26908262.0,0.02,No,Plurality/Majority,275.0,Medium
0.71,17135.0,24189.0,0.76,22435.0,29523.0,0.02,No,Other,17.0,Medium
0.58,5769644.0,9984934.0,0.64,9082362.0,10752626.0,0.02,Yes,PR,300.0,Medium
0.72,29296.0,40769.0,0.69,42629.0,57728.0,0.01,No,PR,31.0,Medium
0.74,57621.0,78236.0,0.72,80568.0,112207.0,0.01,No,Plurality/Majority,15.0,High
0.63,5127244.0,8086526.0,0.51,10076240.0,16867133.0,0.26,No,PR,160.0,Medium
0.58,3006055.0,5179600.0,0.46,6556813.0,12527440.0,0.04,No,Mixed,114.0,Medium
0.85,645085.0,761676.0,0.69,935920.0,1879407.0,0.07,No,PR,102.0,High
0.73,480061.0,661378.0,0.92,524719.0,750204.0,0.01,No,PR,65.0,Medium
0.18,1046516.0,5871450.0,0.17,6053209.0,10110019.0,0.040810810810810734,No,Plurality/Majority,119.0,Low
0.6,3567244.0,5996253.0,0.65,5463902.0,9038741.0,0.15,Yes,PR,128.0,Medium
0.7,5791432.0,8312264.0,0.72,8083846.0,9825704.0,0.01,No,Mixed,199.0,Medium
0.81,201777.0,248502.0,0.76,254202.0,335878.0,0.03,No,PR,63.0,High
